"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"Onwelo S.A.";"Backend";"Junior";".NET|English|Entity Framework|c#|.NET Core|REST";6300;11550;NA;NA;NA;NA;NA;NA;NA;NA;4000;7500;NA;NA;NA;NA;6000;11000;NA;NA;"https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-remote-1qmkvrqm"
"Aplitt sp. z o.o.";"Testing";"Junior";"Selenium|SQL|Polish|Communication skills|Leadership skills";7000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-test-engineer-aplitt-remote-glyhzwe1"
"Direct Communication Sp. z o.o.";"Testing";"Mid";"Linux|SQL|Any OOP Language|Networking|Linux virtualization";13500;18500;NA;NA;NA;NA;NA;NA;NA;NA;10500;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-engineer-linux-remote-direct-communication-ynoo0gzf"
"PMPG Polskie Media S.A.";"Fullstack";"Junior";"PHP|HTML|CSS|JavaScript|Mysql/Postgres|Communication skills|Team player|Critical thinking|Problem solving|Git";8000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-fullstack-php-developer-pmpg-polskie-media-warszawa-t2504ny5"
"Polskie Kasy Wirtualne PSA";"Fullstack";"Junior";"c|Linux|embedded|Critical thinking|Communication skills";6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-programista-c-polskie-kasy-wirtualne-psa-gdynia-fva86ng2"
"Inteca";"Backend";"Junior";"Java";5500;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-java-developer-inteca-wroclaw-whrmymwz"
"S&P Global";"DevOps";"Junior";"AWS|Linux|Windows|Docker|Network|English";NA;NA;10000;13000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-devops-engineer-s-p-global-remote-xz4og3an"
"Inter Technology Group";"Backend";"Mid";"Java|Git|SQL|English|JDBS|Java Core";12806;23478;NA;NA;NA;NA;NA;NA;13353;24480;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-java-engineer-inter-technology-group-rmi0gui0"
"Apzumi";"Testing";"Mid";"Problem solving|Team player|testing|designing test cases|performing manual testing on both API and GUI layers|test case";7000;10000;NA;NA;NA;NA;NA;NA;NA;NA;5700;8400;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-specialist-apzumi-remote-asqr4lpu"
"Robot Gentleman";"Marketing";"Mid";"Video Editing|Content Marketing|Copywriting";NA;NA;6250;8385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-video-content-specialist-robot-gentleman-jttfbeqi"
