"company";"position";"level";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url";"english";"communication_skills";"problem_solving";"team_player";"git";"proactivity";"sql";"polish";"java";"javascript";"python";"critical_thinking";"linux";"rest";"typescript";".net";"html";"css";"react";"docker";"aws";"spring";"jira";"angular";"php";"leadership_skills";"c.";"mysql";"c..";"azure";"postgresql";"jenkins";"kubernetes";"hibernate";"business_analysis";"ci.cd";"windows";"node";"agile";"android";"scrum";"selenium";"kotlin";"ios";"ms_sql";"microservices";"rest_api";"c";"terraform";"analytical_skills";"etl";".net_core";"maven";"project_management";"symfony";"entity_framework";"microsoft";"node.js";"swift";"ux";"redux";"ansible";"spark";"sql_server";"visual_studio";"junit";"ms_office";"spring_boot";"vue.js";"windows_server";"confluence";"figma";"machine_learning";"api";"nosql";"bash";"django";"ui";"scala";"testing";"postman";"cloud";"jquery";"product_management";"oop";"backlog_management";"html5";"mvc";"security";"tdd";"team_management"
"Onwelo S.A.";"Backend";"Junior";6300;11550;NA;NA;NA;NA;NA;NA;NA;NA;4000;7500;NA;NA;NA;NA;6000;11000;NA;NA;"https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-remote-1qmkvrqm";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aplitt sp. z o.o.";"Testing";"Junior";7000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-test-engineer-aplitt-remote-glyhzwe1";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Direct Communication Sp. z o.o.";"Testing";"Mid";13500;18500;NA;NA;NA;NA;NA;NA;NA;NA;10500;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-engineer-linux-remote-direct-communication-ynoo0gzf";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PMPG Polskie Media S.A.";"Fullstack";"Junior";8000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-fullstack-php-developer-pmpg-polskie-media-warszawa-t2504ny5";0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Polskie Kasy Wirtualne PSA";"Fullstack";"Junior";6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;6000;12000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-programista-c-polskie-kasy-wirtualne-psa-gdynia-fva86ng2";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Inteca";"Backend";"Junior";5500;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-java-developer-inteca-wroclaw-whrmymwz";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"S&P Global";"DevOps";"Junior";NA;NA;10000;13000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-devops-engineer-s-p-global-remote-xz4og3an";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Inter Technology Group";"Backend";"Mid";12806;23478;NA;NA;NA;NA;NA;NA;13353;24480;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-java-engineer-inter-technology-group-rmi0gui0";1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Apzumi";"Testing";"Mid";7000;10000;NA;NA;NA;NA;NA;NA;NA;NA;5700;8400;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-specialist-apzumi-remote-asqr4lpu";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Robot Gentleman";"Marketing";"Mid";NA;NA;6250;8385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-video-content-specialist-robot-gentleman-jttfbeqi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
