title_company,category,level,requirements,salary,urlsCatalog
"Junior .NET Developer
Onwelo S.A.","Backend, .net",Junior,.NET|English|Entity Framework|c#|.NET Core|REST,"6 300 - 11 550 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 000 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto|300 - 550 PLN
+ vat (B2B) dziennie |4 000 - 7 500 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-remote-1qmkvrqm
"Junior .NET Developer
Onwelo S.A.","Backend, .net",Junior,.NET|English|Entity Framework|c#|.NET Core|REST,"6 300 - 11 550 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 000 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto|300 - 550 PLN
+ vat (B2B) dziennie |4 000 - 7 500 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-lublin-1qmkvrqm
"Junior .NET Developer
Onwelo S.A.","Backend, .net",Junior,.NET|English|Entity Framework|c#|.NET Core|REST,"6 300 - 11 550 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 000 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto|300 - 550 PLN
+ vat (B2B) dziennie |4 000 - 7 500 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-warszawa-1qmkvrqm
"Junior .NET Developer
Onwelo S.A.","Backend, .net",Junior,.NET|English|Entity Framework|c#|.NET Core|REST,"6 300 - 11 550 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|4 000 - 7 500 PLN
brutto miesięcznie (UoP) oblicz netto|300 - 550 PLN
+ vat (B2B) dziennie |4 000 - 7 500 PLN
brutto miesięcznie (UoP) ",https://nofluffjobs.com/pl/job/junior-net-developer-onwelo-gdansk-1qmkvrqm
"Junior Test Engineer
Aplitt sp. z o.o.","Testing, selenium",Junior,Selenium|SQL|Polish|Communication skills|Leadership skills,"7 000 - 12 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/junior-test-engineer-aplitt-remote-glyhzwe1
"Junior Test Engineer
Aplitt sp. z o.o.","Testing, selenium",Junior,Selenium|SQL|Polish|Communication skills|Leadership skills,"7 000 - 12 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/junior-test-engineer-aplitt-gdansk-glyhzwe1
"QA Engineer (Linux) - Remote
Direct Communication Sp. z o.o.","Testing, linux",Mid,Linux|SQL|Any OOP Language|Networking|Linux virtualization,"13 500 - 18 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|10 500 - 14 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/qa-engineer-linux-remote-direct-communication-ynoo0gzf
"QA Engineer (Linux) - Remote
Direct Communication Sp. z o.o.","Testing, linux",Mid,Linux|SQL|Any OOP Language|Networking|Linux virtualization,"13 500 - 18 500 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|10 500 - 14 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/qa-engineer-linux-remote-direct-communication-warszawa-ynoo0gzf
"Junior Fullstack PHP Developer
PMPG Polskie Media S.A.","Fullstack, php",Junior,PHP|HTML|CSS|JavaScript|Mysql/Postgres|Communication skills|Team player|Critical thinking|Problem solving|Git,"8 000 - 12 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/junior-fullstack-php-developer-pmpg-polskie-media-warszawa-t2504ny5
"Junior programista C
Polskie Kasy Wirtualne PSA","Fullstack, c",Junior,c|Linux|embedded|Critical thinking|Communication skills,"6 000 - 12 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|6 000 - 12 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-programista-c-polskie-kasy-wirtualne-psa-gdynia-fva86ng2
"Junior Java Developer
Inteca","Backend, java",Junior,Java,"5 500 - 9 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""",https://nofluffjobs.com/pl/job/junior-java-developer-inteca-wroclaw-whrmymwz
"Junior DevOps Engineer
S&P Global","DevOps, aws",Junior,AWS|Linux|Windows|Docker|Network|English,"10 000 - 13 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-devops-engineer-s-p-global-remote-xz4og3an
"Junior DevOps Engineer
S&P Global","DevOps, aws",Junior,AWS|Linux|Windows|Docker|Network|English,"10 000 - 13 000 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-devops-engineer-s-p-global-gdansk-xz4og3an
"Remote Java Engineer
Inter Technology Group","Backend, java","Mid, Senior",Java|Git|SQL|English|JDBS|Java Core,"12 806 - 23 478 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|3 000 - 5 500 USD
+ vat (B2B) miesięcznie ",https://nofluffjobs.com/pl/job/remote-java-engineer-inter-technology-group-rmi0gui0
"QA Specialist
Apzumi","Testing, testing",Mid,Problem solving|Team player|testing|designing test cases|performing manual testing on both API and GUI layers|test case,"7 000 - 10 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|5 700 - 8 400 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/qa-specialist-apzumi-remote-asqr4lpu
"REMOTE Video/Content Specialist
Robot Gentleman",Marketing,Mid,Video Editing|Content Marketing|Copywriting,"6 250 - 8 385 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-video-content-specialist-robot-gentleman-jttfbeqi
"REMOTE Video/Content Specialist
Robot Gentleman",Marketing,Mid,Video Editing|Content Marketing|Copywriting,"6 250 - 8 385 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/remote-video-content-specialist-robot-gentleman-poznan-jttfbeqi
"Junior Social Media Geek
Link Group",Marketing,"Trainee, Junior",Content Marketing|Copywriting|Digital Marketing|Google Adwords|Social Media|Real-time marketing,"4 000 - 7 000 PLN
brutto miesięcznie (UZ) |3 000 - 5 500 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-social-media-geek-link-group-warsaw-wwokwqzr
"Junior .NET Developer
DEVnet High Performance Solutions Sp. z o.o.","Backend, .net",Junior,.NET|English|Team player|Communication skills|C#|MS SQL|Problem solving|Proactivity,"6 600 - 7 900 PLN
brutto miesięcznie (UoP) oblicz netto",https://nofluffjobs.com/pl/job/junior-net-developer-devnet-high-performance-solutions-wroclaw-vdudwiyv
"Junior Fullstack Developer
Green Minds Sp.z o.o.","Fullstack, javascript",Junior,JavaScript|TypeScript|Node|HTML|CSS|Express.js|Polish|Angular|jQuery|Git|nosql,"10 000 - 12 000 PLN
+ vat (B2B) miesięcznie oblicz ""na rękę""|10 000 - 12 000 PLN
brutto miesięcznie (UZ) ",https://nofluffjobs.com/pl/job/junior-fullstack-developer-green-minds-remote-ixkuhh2k
